,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Sage,0.99,15,15,7.2,52.2%,6.4%,205,"15,237"
1,Brimstone,0.99,14.8,15,10.6,50.3%,1.2%,211,"2,757"
2,Deadlock,1.06,15.9,15,4.3,50.2%,1.1%,213,"2,692"
3,Reyna,1.12,17.6,15.7,4.1,50.1%,9.8%,240,"23,257"
4,Phoenix,1.09,17,15.6,4.6,50.0%,1.1%,237,"2,567"
5,Neon,0.97,15.9,16.3,4.4,49.9%,0.4%,221,894
6,Fade,0.97,14.5,15,6.2,49.8%,0.9%,199,"2,217"
7,Cypher,1.04,15.1,14.6,4.5,49.6%,12.4%,201,"29,219"
8,Sova,1.02,15.5,15.2,5.5,49.6%,0.5%,212,"1,200"
9,Omen,1,15,15,8,49.5%,14.0%,203,"33,095"
10,Yoru,1.02,16.2,15.8,4.4,49.4%,1.1%,222,"2,603"
11,Skye,0.96,14.6,15.1,7.5,49.2%,10.2%,198,"24,179"
12,Raze,1.03,16.9,16.4,4.4,49.1%,12.3%,239,"29,029"
13,Jett,1.07,17.4,16.2,3.3,48.9%,14.6%,237,"34,506"
14,Gekko,0.95,14.4,15.1,5,48.9%,1.7%,194,"3,976"
15,Killjoy,1.05,15.3,14.6,3.3,48.8%,2.0%,208,"4,781"
16,Astra,1.05,15.6,14.8,7.5,48.7%,3.3%,209,"7,824"
17,Chamber,1.1,16.7,15.2,2.8,48.3%,2.0%,222,"4,762"
18,Iso,1.05,16.9,16.1,3.9,47.5%,0.6%,233,"1,417"
19,Breach,0.95,14.4,15.2,7.7,47.3%,2.8%,197,"6,505"
20,Viper,1.07,16.2,15.2,5.5,47.1%,0.7%,222,"1,662"
21,Harbor,1.02,15.2,14.9,6.3,46.5%,0.0%,207,101
22,KAY/O,0.91,14.2,15.7,9.5,44.5%,0.8%,202,"1,969"
