,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.7%,85.4%,4.9%,129.3
1,Vandal,0.8,23.0%,71.0%,6.1%,125.6
2,Outlaw,0.7,12.9%,82.3%,4.8%,123.6
3,Phantom,0.8,19.8%,73.0%,7.3%,118.3
4,Guardian,0.7,27.1%,68.5%,4.5%,113.9
5,Odin,0.9,10.8%,73.5%,15.8%,106.2
6,Sheriff,0.5,28.2%,67.9%,3.9%,95.5
7,Bulldog,0.7,19.3%,73.4%,7.3%,92.9
8,Marshal,0.5,23.4%,72.3%,4.3%,92
9,Judge,0.7,11.7%,74.0%,14.3%,86.9
10,Spectre,0.8,15.5%,74.8%,9.6%,84
11,Ares,0.6,13.2%,72.8%,14.0%,83.5
12,Stinger,0.6,16.7%,74.7%,8.6%,82.4
13,Ghost,0.8,25.1%,70.2%,4.7%,78.8
14,Bucky,0.5,14.2%,76.1%,9.7%,76.8
15,Shorty,0.5,14.1%,75.1%,10.8%,71.1
16,Classic,0.4,21.5%,72.4%,6.0%,68.7
17,Frenzy,0.6,18.4%,73.3%,8.4%,64.4
